UserID,Age,Gender,Location,BrowsingHistory,CategoriesExplored,ClickThroughRate,RatingsGiven,ProductName,Category,Price,Brand,Specifications,Description,Tags,ImageID
U0001,24,Male,"Mumbai, IN",Mouse|Laptop|Smartphone,Electronics,0.86,3.9,Dell XPS 13,Smartphone,91,Sony,"Noise-cancelling, wireless",Comfortable running shoes,running,IMG0001
U0002,58,Male,"Sydney, AU",Mouse|Book|Laptop,Books,0.64,3.9,The Alchemist,Headphones,967,Harper,"Paperback, 198 pages",Comfortable running shoes,gym,IMG0002
U0003,20,Female,"Mumbai, IN",Smartphone|Book|Socks,Books|Apparel,0.87,3.9,Sony WH-1000XM5,Book,375,Nike,"OLED display, 128GB storage",Advanced smartphone,lightweight,IMG0003
U0004,36,Male,"New York, US",Headphones|Laptop|Book,Gadgets|Apparel,0.7,3.8,Nike Air Max 270,Book,69,Dell,"Paperback, 198 pages",Premium headphones,running,IMG0004
U0005,46,Male,"London, UK",Smartphone,Footwear,0.6,4.7,The Alchemist,Book,1491,Nike,"Noise-cancelling, wireless",High-performance laptop,premium|running|lightweight,IMG0005
U0006,41,Female,"London, UK",Mouse|Socks,Gadgets|Electronics,0.51,3.9,iPhone 14,Sneakers,1335,Nike,"Noise-cancelling, wireless",Comfortable running shoes,lightweight|gym,IMG0006
U0007,33,Female,"Sydney, AU",Laptop|Book,Books|Gadgets,0.78,4.5,Dell XPS 13,Book,555,Nike,"OLED display, 128GB storage",Comfortable running shoes,premium|bestseller,IMG0007
U0008,51,Male,"London, UK",Sneakers,Electronics|Gadgets,0.55,4.0,iPhone 14,Book,403,Dell,"Cushioned, breathable",Inspirational fiction,lightweight|running,IMG0008
U0009,35,Male,"Sydney, AU",Socks|Sneakers|Laptop,Apparel,0.89,4.9,Nike Air Max 270,Smartphone,1487,Dell,"13-inch, i7, 16GB RAM",Advanced smartphone,gym|premium|bestseller,IMG0009
U0010,31,Female,"Mumbai, IN",Headphones|Book,Books|Footwear,0.61,4.5,The Alchemist,Sneakers,951,Harper,"Cushioned, breathable",Comfortable running shoes,premium,IMG0010
U0011,51,Male,"Tokyo, JP",Headphones|Sneakers|Laptop,Books|Gadgets,0.53,4.5,Nike Air Max 270,Sneakers,1379,Sony,"OLED display, 128GB storage",Advanced smartphone,bestseller|lightweight,IMG0011
U0012,39,Female,"New York, US",Socks|Laptop|Mouse,Books,0.84,4.8,Nike Air Max 270,Sneakers,908,Nike,"OLED display, 128GB storage",High-performance laptop,premium|gym|running,IMG0012
U0013,22,Female,"Sydney, AU",Smartphone|Socks|Sneakers,Electronics,0.78,4.3,The Alchemist,Headphones,1416,Apple,"13-inch, i7, 16GB RAM",High-performance laptop,premium,IMG0013
U0014,43,Male,"Mumbai, IN",Book,Footwear|Electronics,0.86,4.2,iPhone 14,Book,1242,Harper,"13-inch, i7, 16GB RAM",Comfortable running shoes,premium,IMG0014
U0015,22,Male,"Sydney, AU",Smartphone,Apparel,0.67,4.3,The Alchemist,Book,772,Sony,"OLED display, 128GB storage",Comfortable running shoes,lightweight|gym|bestseller,IMG0015
U0016,46,Female,"New York, US",Book,Footwear|Apparel,0.55,3.4,iPhone 14,Laptop,1268,Sony,"OLED display, 128GB storage",High-performance laptop,premium|gym|bestseller,IMG0016
U0017,29,Male,"Mumbai, IN",Book|Socks,Books|Apparel,0.58,4.6,Dell XPS 13,Sneakers,1408,Nike,"OLED display, 128GB storage",High-performance laptop,gym|running|lightweight,IMG0017
U0018,23,Female,"Tokyo, JP",Socks|Laptop|Headphones,Gadgets,0.65,4.0,Nike Air Max 270,Book,39,Nike,"Noise-cancelling, wireless",High-performance laptop,bestseller|lightweight|premium,IMG0018
U0019,21,Male,"Sydney, AU",Headphones|Smartphone,Gadgets|Footwear,0.5,4.2,Dell XPS 13,Book,571,Dell,"13-inch, i7, 16GB RAM",Advanced smartphone,running|lightweight,IMG0019
U0020,39,Male,"Tokyo, JP",Smartphone,Footwear|Gadgets,0.88,4.4,The Alchemist,Smartphone,1430,Apple,"Paperback, 198 pages",Advanced smartphone,premium,IMG0020
U0021,24,Male,"London, UK",Book|Headphones|Mouse,Footwear|Electronics,0.61,3.7,Nike Air Max 270,Smartphone,175,Harper,"Noise-cancelling, wireless",High-performance laptop,running|premium|gym,IMG0021
U0022,48,Male,"New York, US",Headphones|Smartphone|Socks,Footwear|Electronics,0.85,3.9,Sony WH-1000XM5,Laptop,1284,Harper,"Noise-cancelling, wireless",Premium headphones,bestseller|gym|premium,IMG0022
U0023,23,Male,"Tokyo, JP",Laptop|Mouse|Socks,Apparel,0.89,4.4,Dell XPS 13,Sneakers,280,Apple,"Paperback, 198 pages",High-performance laptop,lightweight,IMG0023
U0024,60,Male,"Mumbai, IN",Socks,Books,0.81,4.3,The Alchemist,Headphones,793,Harper,"Cushioned, breathable",High-performance laptop,bestseller|premium,IMG0024
U0025,59,Male,"Mumbai, IN",Book|Smartphone|Laptop,Books,0.7,4.1,iPhone 14,Headphones,464,Apple,"Cushioned, breathable",Inspirational fiction,gym|bestseller,IMG0025
U0026,29,Male,"Mumbai, IN",Mouse|Headphones,Footwear|Electronics,0.74,3.1,Dell XPS 13,Book,693,Apple,"Noise-cancelling, wireless",Inspirational fiction,lightweight,IMG0026
U0027,58,Female,"New York, US",Sneakers|Socks,Footwear,0.57,3.1,Dell XPS 13,Laptop,1078,Harper,"Cushioned, breathable",Comfortable running shoes,gym|lightweight,IMG0027
U0028,40,Male,"Mumbai, IN",Book,Footwear|Books,0.88,4.2,Dell XPS 13,Book,916,Sony,"13-inch, i7, 16GB RAM",Advanced smartphone,running|bestseller|gym,IMG0028
